date,price
12/25/15,2063.045
12/28/15,2050.985
12/29/15,2071.05
12/30/15,2069.655
12/31/15,2053.08
01/01/16,2053.08
01/04/16,2013.94
01/05/16,2013.055
01/06/16,1995.38
01/07/16,1962.075
01/08/16,1939.43
01/11/16,1918.375
01/12/16,1930.865
01/13/16,1918.37
01/14/16,1906.7
01/15/16,1887.255
01/18/16,1887.255
01/19/16,1883.02
01/20/16,1844.235
01/21/16,1869.415
01/22/16,1893.125
01/25/16,1891.125
01/26/16,1892.76
01/27/16,1894.845
01/28/16,1888.305
01/29/16,1917.12
02/01/16,1933.75
02/02/16,1916.275
02/03/16,1895.12
02/04/16,1913.935
02/05/16,1892.86
02/08/16,1850.855
02/09/16,1851.595
02/10/16,1865.96
02/11/16,1828.55
02/12/16,1849.09
02/15/16,1849.09
02/16/16,1883.605
02/17/16,1914.74
02/18/16,1922.545
02/19/16,1910.475
02/22/16,1935.57
02/23/16,1930.91
02/24/16,1911.54
02/25/16,1938.62
02/26/16,1954.37
02/29/16,1945.04
03/01/16,1957.72
03/02/16,1977.655
03/03/16,1985.53
03/04/16,1997.95
03/07/16,1997.75
03/08/16,1987.155
03/09/16,1986.265
03/10/16,1987.165
03/11/16,2008.54
03/14/16,2018.31
03/15/16,2010.585
03/16/16,2021.03
03/17/16,2034.2
03/18/16,2046.76
03/21/16,2048.525
03/22/16,2048.585
03/23/16,2041.705
03/24/16,2029.265
03/25/16,2029.265
03/28/16,2037.315
03/29/16,2042.11
03/30/16,2065.24
03/31/16,2062.69
04/01/16,2059.525
04/04/16,2068.295
04/05/16,2052.53
04/06/16,2055.21
04/07/16,2048.405
04/08/16,2051.16
04/11/16,2052.405
04/12/16,2052.395
04/13/16,2074.55
04/14/16,2082.985
04/15/16,2079.765
04/18/16,2084.155
04/19/16,2097.865
04/20/16,2103.685
04/21/16,2096.15
04/22/16,2087.76
04/25/16,2083.445
04/26/16,2091.335
04/27/16,2091.1
04/28/16,2085.46
04/29/16,2063.065
05/02/16,2074.765
05/03/16,2066.035
05/04/16,2052.925
05/05/16,2053
05/06/16,2048.585
05/09/16,2059.23
05/10/16,2073.75
05/11/16,2073.875
05/12/16,2063.56
05/13/16,2054.96
05/16/16,2059.205
05/17/16,2053.255
05/18/16,2047.55
05/19/16,2035.06
05/20/16,2050.115
05/23/16,2051.42
05/24/16,2066.16
05/25/16,2086.83
05/26/16,2090.69
05/27/16,2094.56
05/30/16,2094.56
05/31/16,2096.07
06/01/16,2093.035
06/02/16,2096.925
06/03/16,2094.715
06/06/16,2107.095
06/07/16,2114.7
06/08/16,2116.63
06/09/16,2112.685
06/10/16,2099.765
06/13/16,2088.29
06/14/16,2072.7
06/15/16,2077.725
06/16/16,2064.995
06/17/16,2070.52
06/20/16,2088.12
06/21/16,2088.34
06/22/16,2092.035
06/23/16,2103.06
06/24/16,2068.19
06/27/16,2011.565
06/28/16,2021.38
06/29/16,2057.91
06/30/16,2084.47
07/01/16,2103.305
07/04/16,2103.305
07/05/16,2087.955
07/06/16,2087.37
07/07/16,2099.235
07/08/16,2119.34
07/11/16,2137.44
07/12/16,2147.45
07/13/16,2151.33
07/14/16,2163.435
07/15/16,2162.42
07/18/16,2163.99
07/19/16,2161.82
07/20/16,2170.26
07/21/16,2167.155
07/22/16,2169.175
07/25/16,2167.83
07/26/16,2166.86
07/27/16,2167.025
07/28/16,2166.295
07/29/16,2170.29
08/01/16,2172.25
08/02/16,2158.89
08/03/16,2158.175
08/04/16,2163.63
08/05/16,2175.83
08/08/16,2181.645
08/09/16,2183.135
08/10/16,2177.705
08/11/16,2183.21
08/12/16,2182.85
08/15/16,2189.945
08/16/16,2182.19
08/17/16,2175.79
08/18/16,2183.745
08/19/16,2180.065
08/22/16,2180.555
08/23/16,2190.11
08/24/16,2178.955
08/25/16,2174.37
08/26/16,2174.165
08/29/16,2176.835
08/30/16,2176.34
08/31/16,2167.57
09/01/16,2165.325
09/02/16,2179.23
09/05/16,2179.23
09/06/16,2180.835
09/07/16,2183.47
09/08/16,2181.215
09/09/16,2148.445
09/12/16,2141.21
09/13/16,2135.37
09/14/16,2130.615
09/15/16,2136.835
09/16/16,2138.84
09/19/16,2144.76
09/20/16,2144.985
09/21/16,2152.34
09/22/16,2175.465
09/23/16,2168.86
09/26/16,2151.79
09/27/16,2151.34
09/28/16,2162.095
09/29/16,2158.935
09/30/16,2165.905
10/03/16,2159.59
10/04/16,2154.735
10/05/16,2159.55
10/06/16,2156.605
10/07/16,2155.355
10/10/16,2164.995
10/11/16,2145.2
10/12/16,2139.065
10/13/16,2126.455
10/14/16,2141.085
10/17/16,2130.02
10/18/16,2139.935
10/19/16,2143.295
10/20/16,2140.31
10/21/16,2136.36
10/24/16,2150.85
10/25/16,2146.685
10/26/16,2138.66
10/27/16,2139.825
10/28/16,2130.04
10/31/16,2129.39
11/01/16,2114.65
11/02/16,2102.88
11/03/16,2093.895
11/04/16,2091.43
11/07/16,2116.295
11/08/16,2135.215
11/09/16,2147.725
11/10/16,2166.735
11/11/16,2159.205
11/14/16,2163.72
11/15/16,2173.61
11/16/16,2175.71
11/17/16,2182.355
11/18/16,2185.135
11/21/16,2192.565
11/22/16,2199.655
11/23/16,2199.615
11/24/16,2199.615
11/25/16,2209.81
11/28/16,2205.75
11/29/16,2204.305
11/30/16,2206.455
12/01/16,2195.02
12/02/16,2193.16
12/05/16,2204.695
12/06/16,2207.495
12/07/16,2225.28
12/08/16,2244.63
12/09/16,2254.515
12/12/16,2258.2
12/13/16,2270.425
12/14/16,2262.32
12/15/16,2262.945
12/16/16,2261.145
12/19/16,2262.84
12/20/16,2269.35
12/21/16,2268.19
12/22/16,2259.63
12/23/16,2261.315
12/26/16,2261.315
12/27/16,2269.985
12/28/16,2260.21
12/29/16,2249.535
12/30/16,2243.6
01/02/17,2243.6
01/03/17,2254.505
01/04/17,2267.21
01/05/17,2265.975
01/06/17,2273.08
01/09/17,2272.195
01/10/17,2272.27
01/11/17,2268.075
01/12/17,2263.015
01/13/17,2275.095
01/16/17,2275.095
01/17/17,2267.445
01/18/17,2267.68
01/19/17,2266.37
01/20/17,2270.985
01/23/17,2264.4
01/24/17,2275.655
01/25/17,2294.215
01/26/17,2297.535
01/27/17,2295.32
01/30/17,2277.025
01/31/17,2273.15
02/01/17,2280.79
02/02/17,2277.81
02/03/17,2293.095
02/06/17,2292.375
02/07/17,2294.78
02/08/17,2290.645
02/09/17,2303.845
02/10/17,2315.165
02/13/17,2326.5
02/14/17,2329.875
02/15/17,2343.055
02/16/17,2345.09
02/17/17,2345.37
02/20/17,2345.37
02/21/17,2360.81
02/22/17,2361.735
02/23/17,2361.675
02/24/17,2360.105
02/27/17,2366.705
02/28/17,2363.375
03/01/17,2390.555
03/02/17,2387.46
03/03/17,2379.64
03/06/17,2373.39
03/07/17,2370.315
03/08/17,2367.05
03/09/17,2361.81
03/10/17,2369.95
03/13/17,2371.47
03/14/17,2363.365
03/15/17,2379.475
03/16/17,2382.64
03/17/17,2381.675
03/20/17,2374.605
03/21/17,2361.915
03/22/17,2344.13
03/23/17,2350.525
03/24/17,2345.98
03/27/17,2333.575
03/28/17,2350.705
03/29/17,2358.15
03/30/17,2364.5
03/31/17,2366.475
04/03/17,2355.3
04/04/17,2355.625
04/05/17,2364.44
04/06/17,2356.53
04/07/17,2357.25
04/10/17,2358.935
04/11/17,2346.235
04/12/17,2346.95
04/13/17,2338.605
04/14/17,2338.605
04/17/17,2340.825
04/18/17,2341.445
04/19/17,2343.84
04/20/17,2351.14
04/21/17,2350.345
04/24/17,2373.085
04/25/17,2386.815
04/26/17,2392.47
04/27/17,2387.39
04/28/17,2388.02
05/01/17,2389.66
05/02/17,2389.375
05/03/17,2384.785
05/04/17,2385.89
05/05/17,2394.335
05/08/17,2397.64
05/09/17,2398.155
05/10/17,2396.265
05/11/17,2388.73
05/12/17,2389.815
05/15/17,2398.995
05/16/17,2400.91
05/17/17,2370.54
05/18/17,2364.23
05/19/17,2379.745
05/22/17,2391.19
05/23/17,2397.365
05/24/17,2401.785
05/25/17,2413.36
05/26/17,2414.44
05/29/17,2414.44
05/30/17,2412.345
05/31/17,2409.79
06/01/17,2421.8
06/02/17,2433.97
06/05/17,2436.935
06/06/17,2432.165
06/07/17,2430.015
06/08/17,2433.605
06/09/17,2430.95
06/12/17,2425.175
06/13/17,2436.385
06/14/17,2436.045
06/15/17,2426.24
06/16/17,2428.015
06/19/17,2447.805
06/20/17,2443.63
06/21/17,2436.485
06/22/17,2437.445
06/23/17,2436.255
06/26/17,2443.725
06/27/17,2429.765
06/28/17,2435.495
06/29/17,2424.215
06/30/17,2427.18
07/03/17,2433.93
07/04/17,2433.93
07/05/17,2428.475
07/06/17,2415.99
07/07/17,2420.22
07/10/17,2427.135
07/11/17,2421.045
07/12/17,2440.755
07/13/17,2445.505
07/14/17,2455.115
07/17/17,2459.99
07/18/17,2455.63
07/19/17,2468.84
07/20/17,2473.025
07/21/17,2468.8
07/24/17,2469.71
07/25/17,2478.075
07/26/17,2478.315
07/27/17,2471.985
07/28/17,2469.095
07/31/17,2473.245
08/01/17,2474.825
08/02/17,2473.43
08/03/17,2472.44
08/04/17,2476.04
08/07/17,2478.415
08/08/17,2480.595
08/09/17,2468.245
08/10/17,2451.565
08/11/17,2442.97
08/14/17,2461.59
08/15/17,2465.255
08/16/17,2469.395
08/17/17,2447.515
08/18/17,2430.48
08/21/17,2423.965
08/22/17,2444.22
08/23/17,2445.165
08/24/17,2443.29
08/25/17,2448.09
08/28/17,2444.075
08/29/17,2438.695
08/30/17,2452.04
08/31/17,2468.83
09/01/17,2477.115
09/04/17,2477.115
